"genus","family","order","class","phylum"
"Trigonospermum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Milleria","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Rumfordia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Galinsoga","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Tridax","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Melampodium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Acanthospermum","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Lecocarpus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Viguiera","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Rhysolepis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Alvordia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Aldama","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Stuessya","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Tithonia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Lagascea","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Simsia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Davilanthus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Pappobolus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Syncretocarpus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Scalesia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Helianthus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Phoebanthus","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Iostephane","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Calanticaria","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Chromolepis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Zaluzania","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Ambrosia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Xanthium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Parthenium","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Encelia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Helianthella","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Enceliopsis","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Geraea","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Echinacea","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Acmella","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Trichocoryne","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Balsamorhiza","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Wyethia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Agnorhiza","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Scabrethia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Lindheimera","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Vigethia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Borrichia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Engelmannia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Berlandiera","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Wedelia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
"Wollastonia","Asteraceae","Asterales","Magnoliopsida","Tracheophyta"
